Feature,Coefficient
Heat,0.21488171311576676
studio_score,0.15316865338893063
score,0.14750098005176007
source_score,0.09941499044899503
Award Winning,-0.004466836972733432
Girls Love,0.003371345694019923
Romance,0.002904640008074367
Gourmet,0.002859685618139199
Horror,0.0023476091815481286
Ecchi,0.0016059212169649035
Boys Love,0.0013680224695533979
Action,0.0013062823694368246
Fantasy,0.001139678394650424
Avant Garde,-0.0011354771241167
Mystery,-0.0011343410825956567
Comedy,0.0010403384427476782
Drama,-0.0006267235725323283
Adventure,0.00018475679434674515
Sci-Fi,0.00010489681078912896
Slice of Life,3.9361057248832815e-05
Supernatural,-3.795993435711017e-05
Suspense,-1.3433355841730422e-05
Sports,-2.7153937194639797e-06
