name,Final_Score,ML_Score,Score_Diff,genres,main_studio
Sousou no Frieren,1.6584636066412102,1.7471242888478655,0.08866068220665535,"Adventure, Drama, Fantasy",Madhouse
Fullmetal Alchemist: Brotherhood,1.8552442622825196,1.881425307747083,0.026181045464563457,"Action, Adventure, Drama, Fantasy",Bones
Steins;Gate,1.717962396949725,1.7608003137549586,0.04283791680523352,"Drama, Sci-Fi, Suspense",White Fox
One Piece Fan Letter,1.4778472629269115,1.5638407592550871,0.08599349632817566,"Action, Adventure, Fantasy",Toei Animation
Shingeki no Kyojin Season 3 Part 2,1.7669348953603232,1.8063004637835527,0.03936556842322947,"Action, Drama, Suspense",Wit Studio
Gintama°,1.6268686052063106,1.7074375287693724,0.08056892356306178,"Action, Comedy, Sci-Fi",Bandai Namco Pictures
Gintama: The Final,1.6075503610723234,1.691989478421401,0.0844391173490775,"Action, Comedy, Drama, Sci-Fi",Bandai Namco Pictures
Hunter x Hunter (2011),1.773789497358048,1.80385204954149,0.030062552183442115,"Action, Adventure, Fantasy",Madhouse
Gintama',1.5770259126129342,1.654894449135174,0.0778685365222398,"Action, Comedy, Sci-Fi",Sunrise
Gintama': Enchousen,1.5693745319701913,1.6494259925112629,0.0800514605410716,"Action, Comedy, Sci-Fi",Sunrise
Ginga Eiyuu Densetsu,1.7692724493442327,1.8525209983368511,0.08324854899261847,"Drama, Sci-Fi",K-Factory
Bleach: Sennen Kessen-hen,1.5799112164259212,1.6525675816068932,0.07265636518097196,"Action, Adventure, Supernatural",Pierrot
Kaguya-sama wa Kokurasetai: Ultra Romantic,1.6476362791021837,1.7159774759020865,0.0683411967999028,"Comedy, Romance",A-1 Pictures
Gintama.,1.6103170894972687,1.688704736341685,0.07838764684441624,"Action, Comedy, Sci-Fi",Bandai Namco Pictures
Fruits Basket: The Final,1.588940587046456,1.66153730835846,0.07259672131200401,"Drama, Romance, Supernatural",TMS Entertainment
Clannad: After Story,1.6289097988985708,1.6879246838297273,0.059014884931156475,"Drama, Romance",Kyoto Animation
Gintama,1.5913296319122696,1.6562699730196386,0.06494034110736902,"Action, Comedy, Sci-Fi",Sunrise
Koe no Katachi,1.787552830589731,1.8108815118610144,0.023328681271283402,"Award Winning, Drama",Kyoto Animation
3-gatsu no Lion 2nd Season,1.6118609840496732,1.6797953770315257,0.06793439298185255,Drama,Shaft
Code Geass: Hangyaku no Lelouch R2,1.6108108680689908,1.6454609054338647,0.03465003736487393,"Action, Award Winning, Drama, Sci-Fi",Sunrise
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,1.5580191467436064,1.6294700022165856,0.07145085547297914,"Action, Comedy, Sci-Fi",Sunrise
