Director,Avg_Final_Score,Count,Rank
Sharefun Studio,1.6240492050378033,6,1
Shenman Entertainment,1.5907343364429618,5,2
Studio Bind,1.5886400865783012,8,3
Motion Magic,1.576019323465125,14,4
Studio Chizu,1.5661370962323702,4,5
Square Enix Visual Works,1.5107794771693541,4,6
Original Force,1.5090078018362534,10,7
Shuka,1.5062607684031617,21,8
Red Dog Culture House,1.4933593074971587,7,9
David Production,1.466236099264892,41,10
Geno Studio,1.4490515133296116,8,11
Platinum Vision,1.4417068012056924,10,12
Kyoto Animation,1.4392116309255638,117,13
Fenz,1.4380144636568848,13,14
Wit Studio,1.4365972293793912,65,15
Bones,1.4353175905344275,151,16
White Fox,1.4345458801707602,42,17
TROYCA,1.4323628384496436,16,18
Lerche,1.4201326182204923,61,19
Colored Pencil Animation,1.416644736474677,8,20
MAPPA,1.4152832992604287,74,21
Garden Culture,1.414819100935069,4,22
Oriental Creative Color,1.4140013172304948,5,23
Cloud Art,1.4093798963636326,5,24
CloverWorks,1.4088570171895654,46,25
Qingxiang Culture,1.4058731486384226,4,26
Nut,1.405309130830468,9,27
Felix Film,1.4036175513269658,8,28
CLAP,1.400463908734653,4,29
Manglobe,1.399262126338615,29,30
ufotable,1.398994124400102,67,31
October Media,1.397328285950491,4,32
Science SARU,1.3972463255171756,17,33
DC Impression Vision,1.396930134660441,5,34
Studio Ghibli,1.3939101534334348,38,35
CygamesPictures,1.3896809841244784,12,36
Shaft,1.3886612580584543,118,37
A-1 Pictures,1.382062533362132,220,38
studio MOTHER,1.3804918426697137,5,39
C-Station,1.3797159236358665,16,40
Pierrot Plus,1.3772516206352912,15,41
Studio Rikka,1.3765372808116239,8,42
Bandai Namco Pictures,1.376159700194573,54,43
Studio VOLN,1.3731710555048968,8,44
Sparkly Key Animation Studio,1.3728097075529972,32,45
Production I.G,1.3722410475901963,301,46
Telecom Animation Film,1.3685221627377089,38,47
Lay-duce,1.3675638439527438,18,48
B.CMAY PICTURES,1.3671821774642479,19,49
8bit,1.366080470119801,66,50
Studio Kai,1.3659461747061468,12,51
Shengying Animation,1.359318493294433,7,52
Seven Arcs,1.358579837725528,32,53
Trigger,1.3563004270035004,25,54
production doA,1.3497467032523622,4,55
LAN Studio,1.349455908454962,9,56
Nexus,1.3477890513914719,9,57
Madhouse,1.346367236667821,331,58
TYO Animations,1.3462344259134702,28,59
Brain's Base,1.3436166603347115,100,60
CG Year,1.3419068621166745,17,61
Foch Film,1.3401801513521914,34,62
Drive,1.340089529936244,8,63
Kinema Citrus,1.339970130057696,51,64
M.S.C,1.3392187268225868,19,65
Graphinica,1.3392081268557565,7,66
Studio Deen,1.338988965280991,264,67
Production +h.,1.3375358847723775,5,68
Larx Entertainment,1.3373431071654898,6,69
Pastel,1.3359904198905936,10,70
HAL Film Maker,1.3338617674968087,35,71
LIDENFILMS Kyoto Studio,1.3329520235798038,4,72
Silver,1.331025190477221,6,73
P.A. Works,1.3309014549821079,59,74
Passion Paint Animation,1.3295637443938353,5,75
Mili Pictures,1.3293762469283215,8,76
TMS Entertainment,1.3290812923566935,297,77
LICO,1.3286889268606077,4,78
L²Studio,1.3278961697487444,13,79
Bibury Animation Studios,1.327189165876383,13,80
CoMix Wave Films,1.3249063064934383,23,81
HMCH,1.3230512590900831,6,82
SANZIGEN,1.3212783296568567,46,83
SynergySP,1.318868139726502,45,84
BYMENT,1.317409690385422,7,85
Artland,1.3160108375848167,37,86
AIC Build,1.315216953375572,9,87
Gallop,1.3139039300626316,63,88
Orange,1.3135527503115734,17,89
Diomedéa,1.3131401309722885,46,90
Doga Kobo,1.3129791280427805,90,91
Tear Studio,1.310611037694625,4,92
Studio Ponoc,1.3088311507032697,4,93
J.C.Staff,1.3071053183161294,378,94
Palm Studio,1.3064446585061906,6,95
Studio Barcelona,1.305036034112493,5,96
PINE JAM,1.3042299008746279,13,97
Qiyuan Yinghua,1.3039615429377525,4,98
Connect,1.3037966468652606,13,99
Digital Frontier,1.303535188572605,7,100
SILVER LINK.,1.3031698428631278,120,101
Pierrot,1.3030804531771831,251,102
Atelier Pontdarc,1.3030584019423346,4,103
GoHands,1.3028587991384724,33,104
Satelight,1.2986779850265384,103,105
Studio Gokumi,1.2959051789281923,44,106
YHKT Entertainment,1.2950401505774285,8,107
A.C.G.T.,1.2941508498151475,27,108
Geek Toys,1.2940204576738616,13,109
The Answer Studio,1.2930825051369301,9,110
Tokyo Movie Shinsha,1.2914208709776933,74,111
Daume,1.2902125394501087,27,112
feel.,1.289685377935357,61,113
Visual 80,1.289662591670221,7,114
Telescreen,1.289142991451873,7,115
Blade,1.2865065446935584,7,116
DandeLion Animation Studio,1.2846471847893672,6,117
APPP,1.2846112543098769,17,118
Lapin Track,1.2835699632161912,4,119
Big Firebird Culture,1.283355433227973,15,120
Oh! Production,1.2822190420050783,6,121
LIDENFILMS,1.281257264425303,70,122
Studio Comet,1.2809832034379867,46,123
Khara,1.2807938782507418,13,124
Shin-Ei Animation,1.279578709578867,213,125
Seven Arcs Pictures,1.2786212982208398,16,126
Kitty Film Mitaka Studio,1.2782911715831315,13,127
Yostar Pictures,1.2781577551171792,12,128
Ruo Hong Culture,1.2774794908725955,54,129
AIC ASTA,1.2764352667398604,28,130
Wonder Cat Animation,1.2753191933871293,5,131
Encourage Films,1.2752076431434607,10,132
Sunrise,1.2738648857836739,504,133
Xebec,1.2736016985702658,133,134
XEBEC M2,1.2723903509094812,4,135
Studio Flad,1.2722201287178105,4,136
Gainax,1.2712254685785127,64,137
Gonzo,1.2710126809500517,129,138
Bee Train,1.2710043243070606,31,139
Light Chaser Animation Studios,1.2708740578198947,8,140
Studio Moriken,1.2708094510990178,6,141
BUILD DREAM,1.2698859914039873,7,142
Ajia-do,1.2697530387139504,51,143
Haoliners Animation League,1.2683370120455177,51,144
Okuruto Noboru,1.262673794962046,9,145
Actas,1.261810399937819,63,146
AIC Classic,1.2615597493715005,7,147
Polygon Pictures,1.2606126792976258,29,148
Animation 21,1.2596287831431248,4,149
TOHO animation STUDIO,1.2594146484105204,4,150
Nice Boat Animation,1.2587653198815687,5,151
asread.,1.2557316112132166,27,152
Trans Arts,1.254791159541589,12,153
Thundray,1.2518968907192851,4,154
LX Animation Studio,1.2510361682170263,4,155
Fanworks,1.2509004744130474,26,156
Nippon Animation,1.250765660073067,178,157
Passione,1.2500740165083444,25,158
Toei Animation,1.2476686136117316,703,159
C2C,1.2449073954756873,20,160
Production IMS,1.2429284565288004,24,161
E&G Films,1.2407220205419907,13,162
Tezuka Productions,1.2407154447936388,67,163
Nomad,1.240494995247626,31,164
2:10 Animation,1.2387765631838148,8,165
AIC Spirits,1.2387648901204922,16,166
Studio PuYUKAI,1.235382687022773,42,167
Kung Fu Frog Animation,1.2334187595517432,4,168
Studio Hibari,1.2330682920247846,45,169
Studio Colorido,1.2264918035034929,18,170
Zero-G,1.2246853565998423,28,171
OLM,1.2235760001589666,249,172
Ordet,1.2220882407249924,12,173
Group TAC,1.2219667323622883,76,174
Bakken Record,1.218111880668951,5,175
Maho Film,1.215766419360653,15,176
Anpro,1.2145685661014214,6,177
Yumeta Company,1.2140146902180662,39,178
ENGI,1.2121733179221077,18,179
Project No.9,1.2111235983236488,35,180
Hololive Production,1.2098836228742065,7,181
Suoyi Technology,1.2097559777698463,29,182
AIC PLUS+,1.2078769077090388,15,183
Tsuchida Productions,1.2066411220388464,10,184
Studio 4°C,1.2063912376822234,39,185
Tomoyasu Murata Company,1.2041525722105804,4,186
Hoods Entertainment,1.2029462626044447,26,187
Zexcs,1.2026677027857515,61,188
Rocen,1.2020786741781282,13,189
Studio 3Hz,1.2006514348048172,14,190
ASK Animation Studio,1.198996679808512,5,191
Flat Studio,1.198879155332958,6,192
domerica,1.1981211950764825,4,193
Barnum Studio,1.1947867146632531,7,194
East Fish Studio,1.1935937761053648,4,195
Sola Digital Arts,1.1924582128462808,4,196
Wawayu Animation,1.1867376655231738,14,197
Shirogumi,1.1858181692248877,19,198
AIC,1.1855344221530144,137,199
Yokohama Animation Laboratory,1.1833754646887977,16,200
TNK,1.1817783439626823,42,201
NAZ,1.1777526746437157,14,202
Planet,1.1763920661615326,5,203
Tatsunoko Production,1.175982466277579,153,204
