Rank,name,rank,Final_Score,Heat,source,main_studio,main_producer
1,Wu Dong Qian Kun 5th Season,1052.0,1.5789678771741757,0.00011658657445072115,Novel,Motion Magic,Tencent Animation & Comics
2,Bai Yao Pu 4th Season,1689.0,1.5559249071206969,0.00017487986167608171,Novel,CMC Media,bilibili
3,Fanren Xiu Xian Chuan 3rd Season,345.0,1.5462385183053942,0.0002780876488947529,Web novel,Original Force,bilibili
4,Cang Yuan Tu 2nd Season,1600.0,1.5448188164345174,5.478931914077606e-05,Web novel,Shenman Entertainment,Youku
5,Da Zhu Zai Nian Fan,1127.0,1.5350751785215073,0.0002475075637929244,Web novel,Motion Magic,iQIYI
6,Wanneng Lian Ai Zahuo Dian,1638.0,1.533934583051125,0.00012709847870447468,Manga,TthunDer Animation,Unknown
7,Fanren Xiu Xian Chuan: Chongzhi Ban,1484.0,1.5263081858107281,0.00012009054253530566,Novel,Original Force,bilibili
8,Fanren Xiu Xian Chuan 4th Season,1839.0,1.5136441398376728,3.949927658986181e-05,Novel,Original Force,bilibili
9,Xiuluo Wu Shen,1874.0,1.5124300150731518,0.00017774674465437815,Novel,Original Force,Tencent Penguin Pictures
10,Yuan Zun,1816.0,1.508782355119239,0.00015258188295599843,Web novel,Motion Magic,Tencent Penguin Pictures
11,Fanren Xiu Xian Chuan: Xinghai Feichi Pian Xuzhang,1018.0,1.506202570597995,0.00026948699995986365,Web novel,Original Force,bilibili
12,You Shou Yan 3rd Season,1536.0,1.5035954856660594,7.00793616916903e-05,Manga,Fenz,Unknown
13,Wu Dong Qian Kun 4th Season,858.0,1.4979250024123436,0.0003000670850616921,Novel,DC Impression Vision,Unknown
14,Benghuai: Xing Qiong Tiedao - Xuanhuang,1994.0,1.4905487788545349,0.00023030626592314586,Game,Red Dog Culture House,Unknown
15,You Shou Yan 2nd Season,2036.0,1.4865236210357415,8.951045743347717e-05,Manga,Fenz,bilibili
16,You Shou Yan,2093.0,1.484913864229267,0.00013920309572394848,Manga,Fenz,bilibili
17,Tunshi Xingkong Movie: Xueluo Dalu,850.0,1.4845442014389127,0.00011563094679128901,Novel,Sparkly Key Animation Studio,Tencent Penguin Pictures
18,Given Movie 3: Umi e,1883.0,1.479509093543177,0.00014302560636167704,Manga,Lerche,Aniplex
19,Zhe Tian,1744.0,1.4772923945892176,0.00020354869145904593,Web novel,Original Force,Tencent Penguin Pictures
20,Zhu Xian 2nd Season,746.0,1.4739938398619539,0.00023094335102943396,Web novel,Cloud Art,Tencent Penguin Pictures
21,Yi Nian Yong Heng 3rd Season,1209.0,1.4728910241148143,0.00011403823402556878,Novel,B.CMAY PICTURES,Unknown
22,Ya She,1875.0,1.4723878383909759,0.00013474349997993183,Novel,Colored Pencil Animation,Tencent Penguin Pictures
23,Feng Ling Yu Xiu 2nd Season,1590.0,1.4685857939307487,0.00015736002125315914,Original,Sunflowers,bilibili
24,Lutu Weiji! Sheng Freya Hao Tebie Shijian,2146.0,1.4657204854782782,0.00011977199998216161,Game,HuaMei Animation,miHoYoAnime
25,Cheng He Titong,1176.0,1.4618935264575796,0.00017169443614464125,Novel,Shengying Animation,iQIYI
26,Mushen Ji,1426.0,1.4588243735844755,6.816810637282602e-05,Novel,Sparkly Key Animation Studio,bilibili
27,Shen Lan Qi Yu Wushuang Zhu,1918.0,1.4540859534115869,0.00021947581911624828,Web novel,High Energy Studio,iQIYI
28,Aikatsu! 10th Story: Mirai e no Starway (2023),797.0,1.4509392598807682,0.00019940763826817334,Original,Bandai Namco Pictures,Unknown
29,Wu Shan Wu Xing,3557.0,1.4458697922723112,0.00024113671273004347,Original,Samsara Animation Studio,Unknown
30,Zhui Xu,2360.0,1.445099896468848,0.00015863419146573533,Novel,Oriental Creative Color,bilibili
31,Xing Yu Siwan Nian,1322.0,1.437439487591565,0.00029656311697710765,Web novel,DC Impression Vision,Tencent Penguin Pictures
32,Nezha Zhi Mo Tong Nao Hai,1662.0,1.434883935413964,5.0329723396759404e-05,Original,October Media,Unknown
33,Jian Lai,1667.0,1.4337856587530813,0.00014716665955254965,Web novel,Cloud Art,Tencent Penguin Pictures
34,IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,869.0,1.4302686425598052,0.00028286578719191363,Game,Orange,Lantis
35,Yong Sheng: Shi Nian Zhi Yue,1632.0,1.4300372290324743,0.00023890691485803513,Web novel,Oriental Creative Color,bilibili
36,Fei Ren Zai Part 3,3978.0,1.4278852321572413,0.00012136471274788185,Manga,Fenz,Tencent Penguin Pictures
37,Baise Shandian,2708.0,1.427585878528463,6.370851062880937e-05,Original,HuaMei Animation,Unknown
38,Uma Musume: Pretty Derby - Road to the Top (Movie),2097.0,1.4268580056035147,9.71554787089343e-05,Game,CygamesPictures,Unknown
39,You Shou Yan 4th Season,2038.0,1.4264791754628765,5.319660637505582e-05,Original,Fenz,Unknown
40,Bai Lian Cheng Shen 2nd Season,1706.0,1.4264620012853866,0.0001439812340211092,Web novel,Qingxiang Culture,Youku
41,Yao Shen Ji 7th Season,1245.0,1.4244691206767974,0.00031249024463430995,Novel,Ruo Hong Culture,bilibili
42,Wu Geng Ji Zhi San Jie,3156.0,1.4224683213075016,0.0003093048191028695,Manga,Sparkly Key Animation Studio,Tencent Penguin Pictures
43,Ni Tian Xieshen,1044.0,1.4211174792332844,0.0002169274786910959,Web novel,Foch Film,iQIYI
