Rank,name,rank,Final_Score,Heat,source,main_studio,main_producer
1,Shingeki no Kyojin,116.0,1.8614803648716585,0.9820982270558577,Manga,Wit Studio,Production I.G
2,Fullmetal Alchemist: Brotherhood,2.0,1.8552442629134358,0.7735108294911792,Manga,Bones,Aniplex
3,Death Note,89.0,1.8363974471749822,0.964155680664913,Manga,Madhouse,VAP
4,Koe no Katachi,18.0,1.7875528311902633,0.5671535483410622,Manga,Kyoto Animation,Shochiku
5,Kimetsu no Yaiba,174.0,1.7842407078689626,0.732278999954767,Manga,ufotable,Aniplex
6,Hunter x Hunter (2011),8.0,1.7737894979764535,0.6595783515932543,Manga,Madhouse,VAP
7,Ginga Eiyuu Densetsu,11.0,1.7692724499590626,0.03164560994209534,Novel,K-Factory,TV Tokyo
8,Bleach: Sennen Kessen-hen - Soukoku-tan,64.0,1.7677819526710108,0.03177557530377811,Manga,Pierrot Films,Pierrot
9,Shingeki no Kyojin Season 3 Part 2,5.0,1.766934895982303,0.5515596161944486,Manga,Wit Studio,Production I.G
10,Shingeki no Kyojin Season 2,135.0,1.7521371741485028,0.6275960421724857,Manga,Wit Studio,Production I.G
11,Jujutsu Kaisen,109.0,1.7473140037311978,0.6065903905905078,Manga,MAPPA,Mainichi Broadcasting System
12,Shingeki no Kyojin Season 3,83.0,1.735953428252926,0.5462326290782207,Manga,Wit Studio,Production I.G
13,Boku no Hero Academia,953.0,1.7324451114872201,0.6981079846513456,Manga,Bones,Dentsu
14,Shingeki no Kyojin: The Final Season,35.0,1.7209694130886273,0.46561747244129104,Manga,MAPPA,Production I.G
15,Steins;Gate,3.0,1.7179623975752794,0.5237957658049666,Visual novel,White Fox,Frontier Works
16,Boku no Hero Academia 2nd Season,578.0,1.7155597530199815,0.5718342126169609,Manga,Bones,Dentsu
17,Shigatsu wa Kimi no Uso,81.0,1.70719982176002,0.47287196054659353,Manga,A-1 Pictures,Aniplex
18,One Punch Man,148.0,1.704988307621995,0.7583905701210908,Web manga,Madhouse,TV Tokyo
19,Yakusoku no Neverland,152.0,1.6923335993678439,0.4357228909138285,Manga,CloverWorks,Aniplex
20,Kimi no Na wa.,29.0,1.68872999717798,0.6597143692634468,Original,CoMix Wave Films,TOHO
21,Kimetsu no Yaiba: Yuukaku-hen,54.0,1.6831409359832494,0.32618088502588793,Manga,ufotable,Aniplex
22,Boku no Hero Academia 3rd Season,682.0,1.6811905152777165,0.4786828138010472,Manga,Bones,Dentsu
23,Kimetsu no Yaiba Movie: Mugen Ressha-hen,110.0,1.6792389614579741,0.35195639279864477,Manga,ufotable,Aniplex
24,Boku dake ga Inai Machi,278.0,1.6790380226025186,0.4657729212072253,Manga,A-1 Pictures,Aniplex
25,Vinland Saga,42.0,1.677336539349222,0.3195841872928279,Manga,Wit Studio,Production I.G
26,Haikyuu!!,172.0,1.6743440551356863,0.43203576086118617,Manga,Production I.G,Dentsu
27,Naruto,655.0,1.6727169395371493,0.6768392169204708,Manga,Pierrot,TV Tokyo
28,Naruto: Shippuuden,303.0,1.6696824277632447,0.5868802515721667,Manga,Pierrot,TV Tokyo
29,Pluto,167.0,1.6689181236347401,0.028965074357388182,Manga,Studio M2,Genco
30,Mushoku Tensei: Isekai Ittara Honki Dasu,227.0,1.6686280454039926,0.29474009794546424,Light novel,Studio Bind,Frontier Works
31,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,142.0,1.666581032181421,0.27296930715083434,Manga,David Production,Warner Bros. Japan
32,One Piece,51.0,1.666072195942786,0.5261736859641869,Manga,Toei Animation,Fuji TV
33,Spy x Family,155.0,1.664190351282445,0.34669916650155547,Manga,Wit Studio,TV Tokyo
34,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,80.0,1.6641257697174454,0.20912382322417306,Light novel,Studio Bind,Frontier Works
35,Ansatsu Kyoushitsu 2nd Season,149.0,1.6631444367454045,0.30139349625298395,Manga,Lerche,Dentsu
36,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,106.0,1.663040875115618,0.24133038660235506,Manga,David Production,Warner Bros. Japan
37,Shingeki no Kyojin: The Final Season Part 2,40.0,1.6619156876363441,0.2735076440656478,Manga,MAPPA,Production I.G
38,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,173.0,1.6613885178681138,0.27076339997031185,Manga,David Production,Yomiko Advertising
39,Noragami,761.0,1.6609605918614374,0.42680815902153924,Manga,Bones,Avex Entertainment
40,Ansatsu Kyoushitsu,552.0,1.6607963574469102,0.40522849375879577,Manga,Lerche,Dentsu
41,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,197.0,1.6607922212063513,0.3781425019224043,Manga,A-1 Pictures,Aniplex
42,Sousou no Frieren,1.0,1.6584636073096597,0.21237869103219892,Manga,Madhouse,Aniplex
43,Ookami Kodomo no Ame to Yuki,115.0,1.65723378405548,0.15384968231751175,Original,Studio Chizu,Madhouse
44,Chainsaw Man,159.0,1.6540822016692218,0.32089530844156877,Manga,MAPPA,dugout
45,Haikyuu!! Second Season,91.0,1.6534610048512555,0.3177892000058612,Manga,Production I.G,Dentsu
46,Mob Psycho 100,147.0,1.6528014277216174,0.4427276416574661,Web manga,Bones,Warner Bros. Japan
47,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,86.0,1.6521094664624654,0.29397336602004653,Manga,A-1 Pictures,Aniplex
48,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,37.0,1.6501435981237953,0.27028909010868035,Manga,Production I.G,Dentsu
49,Sen to Chihiro no Kamikakushi,39.0,1.6484202065305105,0.44051313382800866,Original,Studio Ghibli,Dentsu
50,Kaguya-sama wa Kokurasetai: Ultra Romantic,13.0,1.6476362797134392,0.1925385866521751,Manga,A-1 Pictures,Aniplex
51,Re:Zero kara Hajimeru Isekai Seikatsu,352.0,1.647313131310272,0.4927515642032072,Light novel,White Fox,TV Tokyo
52,Wu Liuqi: Xuanwu Guo Pian,188.0,1.6465634057586807,0.013141473029957653,Original,Sharefun Studio,AHA Entertainment
53,Howl no Ugoku Shiro,72.0,1.6447124977954601,0.3189477392716461,Novel,Studio Ghibli,d-rights
54,Violet Evergarden,69.0,1.6439035273816547,0.34687850595897557,Light novel,Kyoto Animation,Lantis
55,Jujutsu Kaisen 2nd Season,45.0,1.643708521656877,0.2130966859469856,Manga,MAPPA,Mainichi Broadcasting System
56,Natsume Yuujinchou Roku,97.0,1.6432506700193725,0.02338739425183592,Manga,Shuka,TV Tokyo
57,Mob Psycho 100 II,33.0,1.642662640987961,0.335711996758511,Web manga,Bones,Warner Bros. Japan
58,Kiseijuu: Sei no Kakuritsu,256.0,1.6423366678600833,0.3934698139520364,Manga,Madhouse,VAP
59,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,500.0,1.6413141789834849,0.295663871349582,Manga,David Production,Yomiko Advertising
60,JoJo no Kimyou na Bouken (TV),876.0,1.641273623947483,0.37003017872148486,Manga,David Production,Yomiko Advertising
61,Natsume Yuujinchou Go,113.0,1.6402997780257604,0.02558661203874242,Manga,Shuka,TV Tokyo
62,Noragami Aragoto,470.0,1.6401583404531503,0.2966316036260336,Manga,Bones,Dentsu
63,Fullmetal Alchemist,516.0,1.6378151652133597,0.29807778681730757,Manga,Bones,Aniplex
64,Tokyo Ghoul,1058.0,1.6367685783090764,0.6285663227893624,Manga,Pierrot,Marvelous AQL
65,Boku no Hero Academia 4th Season,896.0,1.6337936510502047,0.3616260705418855,Manga,Bones,Dentsu
66,Shingeki no Kyojin: The Final Season - Kanketsu-hen,25.0,1.6313858471320146,0.14639291969096277,Manga,MAPPA,Production I.G
67,Wu Liuqi: Zui Qiang Fa Xing Shi,375.0,1.6309766780691541,0.016205852391203385,Original,Sharefun Studio,AHA Entertainment
68,Clannad: After Story,16.0,1.6289097994991029,0.23823160464536977,Visual novel,Kyoto Animation,Pony Canyon
69,Horimiya,405.0,1.6278682460417448,0.2996026500192081,Manga,CloverWorks,Aniplex
70,Gintama°,6.0,1.6268686058282902,0.08838791347619754,Manga,Bandai Namco Pictures,TV Tokyo
71,Natsume Yuujinchou Movie: Utsusemi ni Musubu,185.0,1.624795623419417,0.009126562690130086,Manga,Shuka,Aniplex
72,Nichijou,154.0,1.6233735740309267,0.1299898894593632,Manga,Kyoto Animation,Lantis
73,Ouran Koukou Host Club,452.0,1.6231738342170192,0.2345537123267686,Manga,Bones,VAP
74,Natsume Yuujinchou Roku Specials,199.0,1.6226631027903087,0.00725735498828082,Manga,Shuka,NAZ
75,Vinland Saga Season 2,32.0,1.622207516491632,0.12955890138495932,Manga,MAPPA,Dentsu
76,Dr. Stone,316.0,1.6198765887851294,0.3618821787546133,Manga,TMS Entertainment,TOHO animation
77,Code Geass: Hangyaku no Lelouch,61.0,1.6196744401593353,0.49734048822380034,Original,Sunrise,Bandai Visual
78,Jujutsu Kaisen 0 Movie,191.0,1.618778464171924,0.21614641235078672,Manga,MAPPA,Mainichi Broadcasting System
79,Look Back,70.0,1.6181390902686825,0.025257876123897762,Manga,Studio DURIAN,Tohokushinsha Film Corporation
80,Natsume Yuujinchou Go Specials,270.0,1.615477199620667,0.007328071435078798,Manga,Shuka,Unknown
81,Monster,24.0,1.6147854016360528,0.16388186148623035,Manga,Madhouse,VAP
82,Kobayashi-san Chi no Maid Dragon,782.0,1.6119930909993005,0.24972111599472238,Manga,Kyoto Animation,Lantis
83,3-gatsu no Lion 2nd Season,19.0,1.61186098464663,0.07054092985119603,Manga,Shaft,Aniplex
84,Akame ga Kill!,2058.0,1.6116368967817147,0.44079727378541317,Manga,White Fox,Nihon Ad Systems
85,Code Geass: Hangyaku no Lelouch R2,20.0,1.610810868665948,0.41871112586317066,Original,Sunrise,Bandai Visual
86,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,179.0,1.610565669089834,0.08291758221105483,Light novel,Studio Bind,Frontier Works
