name,Final_Score,ML_Score,Score_Diff,genres,main_studio
Sousou no Frieren,1.6584636066412102,1.7471242888478655,0.08866068220665535,"Adventure, Drama, Fantasy",Madhouse
One Piece Fan Letter,1.4778472629269115,1.5638407592550871,0.08599349632817566,"Action, Adventure, Fantasy",Toei Animation
Gintama: The Final,1.6075503610723234,1.691989478421401,0.0844391173490775,"Action, Comedy, Drama, Sci-Fi",Bandai Namco Pictures
Ginga Eiyuu Densetsu,1.7692724493442327,1.8525209983368511,0.08324854899261847,"Drama, Sci-Fi",K-Factory
Gintama°,1.6268686052063106,1.7074375287693724,0.08056892356306178,"Action, Comedy, Sci-Fi",Bandai Namco Pictures
Gintama': Enchousen,1.5693745319701913,1.6494259925112629,0.0800514605410716,"Action, Comedy, Sci-Fi",Sunrise
Gintama.,1.6103170894972687,1.688704736341685,0.07838764684441624,"Action, Comedy, Sci-Fi",Bandai Namco Pictures
Gintama',1.5770259126129342,1.654894449135174,0.0778685365222398,"Action, Comedy, Sci-Fi",Sunrise
Bleach: Sennen Kessen-hen,1.5799112164259212,1.6525675816068932,0.07265636518097196,"Action, Adventure, Supernatural",Pierrot
Fruits Basket: The Final,1.588940587046456,1.66153730835846,0.07259672131200401,"Drama, Romance, Supernatural",TMS Entertainment
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,1.5984235311809283,1.6703196558101563,0.07189612462922801,"Action, Comedy, Sci-Fi",Bandai Namco Pictures
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,1.5580191467436064,1.6294700022165856,0.07145085547297914,"Action, Comedy, Sci-Fi",Sunrise
Ore dake Level Up na Ken Season 2: Arise from the Shadow,1.5303340327868016,1.6011755768831395,0.07084154409633792,"Action, Adventure, Fantasy",A-1 Pictures
Kaguya-sama wa Kokurasetai: Ultra Romantic,1.6476362791021837,1.7159774759020865,0.0683411967999028,"Comedy, Romance",A-1 Pictures
3-gatsu no Lion 2nd Season,1.6118609840496732,1.6797953770315257,0.06793439298185255,Drama,Shaft
Kingdom 3rd Season,1.5395665623358226,1.6068036032424065,0.06723704090658389,Action,Pierrot
Gintama. Shirogane no Tamashii-hen,1.5944531836346403,1.6606104225853038,0.0661572389506635,"Action, Comedy, Sci-Fi",Bandai Namco Pictures
Owarimonogatari 2nd Season,1.5472583252024745,1.612459423652076,0.06520109844960142,"Comedy, Mystery, Supernatural",Shaft
Gintama,1.5913296319122696,1.6562699730196386,0.06494034110736902,"Action, Comedy, Sci-Fi",Sunrise
Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,1.5795733465434596,1.6422073259539585,0.06263397941049886,"Action, Drama, Suspense",MAPPA
