Rank,main_studio,Avg_Final_Score,Count
1,Sharefun Studio,1.6240492050378033,6
2,Shenman Entertainment,1.5907343364429618,5
3,Studio Bind,1.5886400865783012,8
4,Motion Magic,1.576019323465125,14
5,Studio Chizu,1.5661370962323702,4
6,Square Enix Visual Works,1.5107794771693541,4
7,Original Force,1.5090078018362534,10
8,Shuka,1.5062607684031617,21
9,Red Dog Culture House,1.4933593074971587,7
10,David Production,1.466236099264892,41
11,Geno Studio,1.4490515133296116,8
12,Platinum Vision,1.4417068012056924,10
13,Kyoto Animation,1.4392116309255638,117
14,Fenz,1.4380144636568848,13
15,Wit Studio,1.4365972293793912,65
16,Bones,1.4353175905344275,151
17,White Fox,1.4345458801707602,42
18,TROYCA,1.4323628384496436,16
19,Lerche,1.4201326182204923,61
20,Colored Pencil Animation,1.416644736474677,8
21,MAPPA,1.4152832992604287,74
22,Garden Culture,1.414819100935069,4
23,Oriental Creative Color,1.4140013172304948,5
24,Cloud Art,1.4093798963636326,5
25,CloverWorks,1.4088570171895654,46
26,Qingxiang Culture,1.4058731486384226,4
27,Nut,1.405309130830468,9
28,Felix Film,1.4036175513269658,8
29,CLAP,1.400463908734653,4
30,Manglobe,1.399262126338615,29
31,ufotable,1.398994124400102,67
32,October Media,1.397328285950491,4
33,Science SARU,1.3972463255171756,17
34,DC Impression Vision,1.396930134660441,5
35,Studio Ghibli,1.3939101534334348,38
36,CygamesPictures,1.3896809841244784,12
37,Shaft,1.3886612580584543,118
38,A-1 Pictures,1.382062533362132,220
39,studio MOTHER,1.3804918426697137,5
40,C-Station,1.3797159236358665,16
41,Pierrot Plus,1.3772516206352912,15
42,Studio Rikka,1.3765372808116239,8
43,Bandai Namco Pictures,1.376159700194573,54
44,Studio VOLN,1.3731710555048968,8
45,Sparkly Key Animation Studio,1.3728097075529972,32
46,Production I.G,1.3722410475901963,301
47,Telecom Animation Film,1.3685221627377089,38
48,Lay-duce,1.3675638439527438,18
49,B.CMAY PICTURES,1.3671821774642479,19
50,8bit,1.366080470119801,66
51,Studio Kai,1.3659461747061468,12
52,Shengying Animation,1.359318493294433,7
53,Seven Arcs,1.358579837725528,32
54,Trigger,1.3563004270035004,25
55,production doA,1.3497467032523622,4
56,LAN Studio,1.349455908454962,9
57,Nexus,1.3477890513914719,9
58,Madhouse,1.346367236667821,331
59,TYO Animations,1.3462344259134702,28
60,Brain's Base,1.3436166603347115,100
61,CG Year,1.3419068621166745,17
62,Foch Film,1.3401801513521914,34
63,Drive,1.340089529936244,8
64,Kinema Citrus,1.339970130057696,51
65,M.S.C,1.3392187268225868,19
66,Graphinica,1.3392081268557565,7
67,Studio Deen,1.338988965280991,264
68,Production +h.,1.3375358847723775,5
69,Larx Entertainment,1.3373431071654898,6
70,Pastel,1.3359904198905936,10
71,HAL Film Maker,1.3338617674968087,35
72,LIDENFILMS Kyoto Studio,1.3329520235798038,4
73,Silver,1.331025190477221,6
74,P.A. Works,1.3309014549821079,59
75,Passion Paint Animation,1.3295637443938353,5
76,Mili Pictures,1.3293762469283215,8
77,TMS Entertainment,1.3290812923566935,297
78,LICO,1.3286889268606077,4
79,L²Studio,1.3278961697487444,13
80,Bibury Animation Studios,1.327189165876383,13
81,CoMix Wave Films,1.3249063064934383,23
82,HMCH,1.3230512590900831,6
83,SANZIGEN,1.3212783296568567,46
84,SynergySP,1.318868139726502,45
85,BYMENT,1.317409690385422,7
86,Artland,1.3160108375848167,37
87,AIC Build,1.315216953375572,9
88,Gallop,1.3139039300626316,63
89,Orange,1.3135527503115734,17
90,Diomedéa,1.3131401309722885,46
91,Doga Kobo,1.3129791280427805,90
92,Tear Studio,1.310611037694625,4
93,Studio Ponoc,1.3088311507032697,4
94,J.C.Staff,1.3071053183161294,378
95,Palm Studio,1.3064446585061906,6
96,Studio Barcelona,1.305036034112493,5
97,PINE JAM,1.3042299008746279,13
98,Qiyuan Yinghua,1.3039615429377525,4
99,Connect,1.3037966468652606,13
100,Digital Frontier,1.303535188572605,7
101,SILVER LINK.,1.3031698428631278,120
102,Pierrot,1.3030804531771831,251
103,Atelier Pontdarc,1.3030584019423346,4
104,GoHands,1.3028587991384724,33
105,Satelight,1.2986779850265384,103
106,Studio Gokumi,1.2959051789281923,44
107,YHKT Entertainment,1.2950401505774285,8
108,A.C.G.T.,1.2941508498151475,27
109,Geek Toys,1.2940204576738616,13
110,The Answer Studio,1.2930825051369301,9
111,Tokyo Movie Shinsha,1.2914208709776933,74
112,Daume,1.2902125394501087,27
113,feel.,1.289685377935357,61
114,Visual 80,1.289662591670221,7
115,Telescreen,1.289142991451873,7
116,Blade,1.2865065446935584,7
117,DandeLion Animation Studio,1.2846471847893672,6
118,APPP,1.2846112543098769,17
119,Lapin Track,1.2835699632161912,4
